Point ID,Points_0,Points_1,Points_2,Points_Magnitude
2,-2.882446527,0.509498835,1.72E-18,2.927129507
3,-2.882446527,0.509498835,-0.023279676,2.927222013
6,-2.882446527,0.509499013,-0.059331167,2.927730799
4,-2.882446527,0.509499013,-0.062673613,2.927800417
5,-2.882446527,0.509499073,-0.066821821,2.927892208
11,-2.882446527,0.509499133,-0.069050133,2.927943945
10,-2.882446527,0.509499192,-0.072613567,2.928030014
9,-2.882446527,0.509499311,-0.079400264,2.928206205
7,-2.882446527,0.509499669,-0.098095447,2.928772926
8,-2.882446527,0.509501874,-0.206103116,2.934376955
49,-2.882446527,0.509315372,-0.21082668,2.934680223
48,-2.882446527,0.509213805,-0.212875471,2.9348104
47,-2.882446527,0.508675396,-0.217945635,2.93508935
32,-2.882446527,0.508389711,-0.220112279,2.935201406
33,-2.882446527,0.507530212,-0.225383729,2.9354527
34,-2.882446527,0.50709039,-0.227639601,2.93555069
35,-2.882446527,0.505940437,-0.233038649,2.935775995
36,-2.882446527,0.505377114,-0.235355437,2.935863733
72,-2.882446527,0.503146708,-0.243544638,2.936148643
70,-2.882446527,0.502115428,-0.247069731,2.936266661
71,-2.882446527,0.49924317,-0.255199552,2.936472178
68,-2.882446527,0.497972012,-0.258695543,2.9365623
69,-2.882446527,0.494401336,-0.266583204,2.936664343
66,-2.882446527,0.492860049,-0.269951254,2.93671298
67,-2.882446527,0.488564998,-0.277441382,2.936693192
64,-2.882446527,0.48674044,-0.280602127,2.936690569
65,-2.882446527,0.48174426,-0.287583649,2.936542273
62,-2.882446527,0.479647696,-0.290485591,2.936484575
63,-2.882446527,0.47398147,-0.296854883,2.936201572
60,-2.882446527,0.471626371,-0.299455374,2.936086416
61,-2.882446527,0.465350777,-0.305175364,2.935673952
58,-2.882446527,0.462768614,-0.307471335,2.93550539
59,-2.882446527,0.455963075,-0.312549382,2.934976578
56,-2.882446527,0.453197181,-0.314561278,2.934763193
57,-2.882446527,0.443431973,-0.320358962,2.933898449
54,-2.882446527,0.439528733,-0.322630107,2.933559895
55,-2.882446527,0.429136336,-0.327378571,2.932547092
52,-2.882446527,0.425046563,-0.329213172,2.932156801
53,-2.882446527,0.414206296,-0.332982719,2.931030989
50,-2.882446527,0.409997344,-0.334413081,2.930602074
51,-2.882446527,0.404475063,-0.335942686,2.930009365
37,-2.882446527,0.4023498,-0.336516798,2.929782629
38,-2.882446527,0.396791756,-0.337815732,2.929174185
39,-2.882446527,0.394670397,-0.33829996,2.928943396
40,-2.882446527,0.389105707,-0.3393659,2.928322077
41,-2.882446527,0.387001783,-0.339761168,2.928089142
42,-2.882446527,0.381473124,-0.340566158,2.927457094
43,-2.882446527,0.379405379,-0.340862751,2.927222967
44,-2.882446527,0.373959571,-0.341371864,2.926581383
45,-2.882446527,0.371948183,-0.34155789,2.926346779
46,-2.882446527,0.365923911,-0.341763139,2.925611019
0,-2.882446527,0.141959324,-0.341800004,2.906110287
1,-2.882446527,0.055004906,-0.341800004,2.903162241
12,-2.882446527,-8.58E-18,-0.341800004,2.902641058
