# Force and moment coefficients
# dragDir         : (9.8480776069e-01 1.7364813413e-01 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (-1.7364813413e-01 9.8480776069e-01 0.0000000000e+00)
# rollAxis        : (9.8480776069e-01 1.7364813413e-01 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (-1.7364813413e-01 9.8480776069e-01 0.0000000000e+00)
# magUInf         : 1.4600000000e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.00025014        	-4.8512317982e+09	-2.4256158991e+09	-2.4256158991e+09	-1.0205624135e+10	-5.7726319813e+09	-4.4329921534e+09	-6.6981991394e+08	1.3488970162e-11	1.2931764896e-11	3.9398685714e-11	3.2631107753e-11	6.7675779605e-12
0.000250152       	-1.7443909886e+08	-8.7219549429e+07	-8.7219549429e+07	-3.6768134876e+08	-2.1181693521e+08	-1.5586441355e+08	-2.7976260829e+07	3.6837291648e-13	6.1186786983e-13	-3.6211056601e-12	-1.1986849602e-12	-2.4224206999e-12
0.00025023        	6.7413085297e+05	3.3706542648e+05	3.3706542648e+05	2.6552850883e+06	2.0178934701e+06	6.3739161823e+05	6.9025092593e+05	4.3074021781e-15	4.8152777145e-15	3.1472510726e-14	2.0551533077e-14	1.0920977648e-14
0.000250518       	1.5503606057e+06	7.7518030286e+05	7.7518030286e+05	3.2175682088e+06	1.8247109202e+06	1.3928572886e+06	2.1592681578e+05	4.7647290027e-16	5.3639293792e-17	-5.2528636212e-15	-2.5727925168e-15	-2.6800711044e-15
0.00025089        	2.9955493245e+05	1.4977746623e+05	1.4977746623e+05	6.0098251174e+05	3.2927013663e+05	2.7171237511e+05	2.8778880761e+04	-3.9862328672e-17	4.7650980276e-16	-1.3798248560e-14	-6.4226144773e-15	-7.3756340828e-15
0.000251303       	-6.6600073712e+04	-3.3300036856e+04	-3.3300036856e+04	-1.0799496432e+05	-5.0261024160e+04	-5.7733940164e+04	3.7364580017e+03	-8.2008611536e-18	2.6970452552e-18	-1.7133543565e-17	-5.8697265273e-18	-1.1263817038e-17
0.000251739       	-1.7651163952e+04	-8.8255819760e+03	-8.8255819760e+03	-1.5345805425e+04	-3.3913478881e+03	-1.1954457537e+04	4.2815548244e+03	6.4596746146e-18	1.4056446319e-17	2.9261783846e-17	2.8687338242e-17	5.7444560431e-19
0.000252203       	-2.0450735961e+04	-1.0225367980e+04	-1.0225367980e+04	-2.2069459130e+04	-6.9615198309e+03	-1.5107939299e+04	4.0732097342e+03	-2.1165353779e-18	3.4503678322e-18	-1.3025665468e-16	-6.1677959510e-17	-6.8578695174e-17
0.00025271        	-1.9495551167e+04	-9.7477755833e+03	-9.7477755833e+03	-2.0090829862e+04	-5.8711275853e+03	-1.4219702277e+04	4.1742873456e+03	1.4251929919e-17	1.2312356369e-17	3.5024022779e-17	2.9824367758e-17	5.1996550208e-18
0.000253263       	-1.8961878556e+04	-9.4809392780e+03	-9.4809392780e+03	-2.0081690709e+04	-6.0515279655e+03	-1.4030162743e+04	3.9893173888e+03	1.2038565169e-17	1.7016224095e-17	9.6738261103e-17	6.5385354647e-17	3.1352906456e-17
0.000253827       	-1.8906516818e+04	-9.4532584090e+03	-9.4532584090e+03	-1.9871661889e+04	-5.7663165836e+03	-1.4105345306e+04	4.1695143611e+03	8.7679443059e-18	1.4952731585e-17	-6.8153395755e-19	1.4611964607e-17	-1.5293498564e-17
0.000254403       	-1.8660328583e+04	-9.3301642917e+03	-9.3301642917e+03	-1.9646021483e+04	-5.7038380132e+03	-1.3942183470e+04	4.1191727282e+03	-1.2785992846e-18	-1.2637662664e-18	-6.0563658879e-17	-3.1545595706e-17	-2.9018063173e-17
0.000254994       	-1.8411401951e+04	-9.2057009757e+03	-9.2057009757e+03	-1.9050595156e+04	-5.8259991760e+03	-1.3224595980e+04	3.6992984021e+03	1.7303165674e-17	1.8713655481e-17	-1.8482012958e-17	9.4726490015e-18	-2.7954661960e-17
0.000255604       	-1.7650531541e+04	-8.8252657703e+03	-8.8252657703e+03	-1.7800896256e+04	-5.5543945035e+03	-1.2246501752e+04	3.3460536243e+03	1.2572618886e-17	1.4013684585e-17	1.4921245008e-17	2.1474307089e-17	-6.5530620809e-18
0.000256243       	-1.5838764287e+04	-7.9193821437e+03	-7.9193821437e+03	-1.5821768225e+04	-4.9291059977e+03	-1.0892662227e+04	2.9817781145e+03	-2.1586926846e-17	-2.1825551500e-17	-1.6981651736e-16	-1.0673381018e-16	-6.3082707180e-17
0.000256903       	-1.3987533701e+04	-6.9937668505e+03	-6.9937668505e+03	-1.3856955801e+04	-4.1613210208e+03	-9.6956347805e+03	2.7671568798e+03	1.3604595016e-17	1.7378807037e-17	6.7283519176e-17	5.1020566625e-17	1.6262952551e-17
0.000257576       	-1.2503397064e+04	-6.2516985319e+03	-6.2516985319e+03	-1.1532779070e+04	-3.2754638618e+03	-8.2573152080e+03	2.4909256731e+03	-7.9585973565e-19	-4.0398518957e-18	-2.7370474591e-17	-1.7725089191e-17	-9.6453854000e-18
0.000258271       	-1.1598963783e+04	-5.7994818915e+03	-5.7994818915e+03	-9.7167721229e+03	-2.6216114240e+03	-7.0951606989e+03	2.2367746375e+03	1.9145364175e-17	2.0746733128e-17	5.8008802988e-17	4.9751134622e-17	8.2576683654e-18
