# Force and moment coefficients
# dragDir         : (9.8480776069e-01 1.7364813413e-01 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (-1.7364813413e-01 9.8480776069e-01 0.0000000000e+00)
# rollAxis        : (9.8480776069e-01 1.7364813413e-01 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (-1.7364813413e-01 9.8480776069e-01 0.0000000000e+00)
# magUInf         : 1.4600000000e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
5.00086           	-1.9149929351e-02	-9.5749646755e-03	-9.5749646755e-03	1.2791396123e-01	6.6356537250e-02	6.1557423977e-02	2.3995566364e-03	1.0415687753e-23	-4.6772781632e-25	5.2405762833e-23	2.5735153600e-23	2.6670609233e-23
5.00172           	-1.9377697427e-02	-9.6888487136e-03	-9.6888487136e-03	1.2845870184e-01	6.6657133399e-02	6.1801568438e-02	2.4277824806e-03	1.8026023890e-24	-1.4851197586e-23	1.8239463014e-23	-5.7314660790e-24	2.3970929093e-23
5.00258           	-1.9221472398e-02	-9.6107361991e-03	-9.6107361991e-03	1.2839026356e-01	6.6622195591e-02	6.1768067970e-02	2.4270638106e-03	9.1789870897e-24	9.6682595412e-24	1.3690136019e-23	1.6513327551e-23	-2.8231915317e-24
5.00344           	-1.9185285264e-02	-9.5926426320e-03	-9.5926426320e-03	1.2848052925e-01	6.6684305065e-02	6.1796224187e-02	2.4440404391e-03	2.2279153450e-23	-2.9586017314e-23	6.5298072583e-23	3.0630189775e-24	6.2235053605e-23
5.0043            	-1.9178855734e-02	-9.5894278671e-03	-9.5894278671e-03	1.2858346125e-01	6.6753990829e-02	6.1829470418e-02	2.4622602056e-03	-1.1273202085e-23	2.5048252693e-23	-1.3403819798e-23	1.8346342794e-23	-3.1750162592e-23
5.00516           	-1.9145734334e-02	-9.5728671672e-03	-9.5728671672e-03	1.2868777421e-01	6.6825282088e-02	6.1862492124e-02	2.4813949820e-03	-2.1187954758e-23	7.4602361357e-25	-5.6243635441e-23	-2.7375794107e-23	-2.8867841334e-23
5.00602           	-1.9156981984e-02	-9.5784909922e-03	-9.5784909922e-03	1.2889208017e-01	6.6934470234e-02	6.1957609938e-02	2.4884301479e-03	2.9037008135e-23	-4.7811329428e-23	5.1329039556e-23	-2.2146809650e-23	7.3475849206e-23
5.00689           	-1.9048595715e-02	-9.5242978574e-03	-9.5242978574e-03	1.2886465689e-01	6.6922158542e-02	6.1942498351e-02	2.4898300955e-03	3.5929503894e-23	-3.2266558717e-23	7.6915129546e-23	6.1910060561e-24	7.0724123490e-23
5.00775           	-1.9265349542e-02	-9.6326747712e-03	-9.6326747712e-03	1.2947699394e-01	6.7243735447e-02	6.2233258496e-02	2.5052384758e-03	-1.8474165380e-23	-7.9048142873e-24	-8.4935519112e-23	-5.0372573843e-23	-3.4562945269e-23
5.00861           	-1.9212000633e-02	-9.6060003166e-03	-9.6060003166e-03	1.2941276447e-01	6.7229425371e-02	6.2183339102e-02	2.5230431344e-03	-1.4239645422e-23	-1.2080015534e-23	-7.7919289129e-23	-5.1039660098e-23	-2.6879629031e-23
