# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
5.00086            -5.3622528725e+00 1.6012633286e+01 -6.8421225983e-21 -5.5079232031e+00 1.5928587371e+01 -6.7885555528e-21 1.4567033069e-01 8.4045914933e-02 -5.3567045512e-23
5.00947            -5.4187353620e+00 1.6259102080e+01 -7.2459492254e-21 -5.5643195304e+00 1.6176135757e+01 -7.2899801154e-21 1.4558416840e-01 8.2966322537e-02 4.4030890060e-23
5.01809            -5.3487070563e+00 1.6347996480e+01 1.5240682317e-20 -5.4942371132e+00 1.6266129924e+01 1.5271432197e-20 1.4553005686e-01 8.1866555398e-02 -3.0749879712e-23
5.02673            -5.3858066888e+00 1.6582330859e+01 7.4865288918e-21 -5.5312345647e+00 1.6501606289e+01 7.4508342372e-21 1.4542787590e-01 8.0724569606e-02 3.5694654612e-23
5.03536            -5.4446124128e+00 1.6881250188e+01 -5.5059167070e-21 -5.5899404342e+00 1.6801684376e+01 -5.4917301972e-21 1.4532802140e-01 7.9565812021e-02 -1.4186509822e-23
5.04399            -5.4363907484e+00 1.7050944922e+01 4.8359036382e-21 -5.5816060987e+00 1.6972561872e+01 4.8816926032e-21 1.4521535032e-01 7.8383050357e-02 -4.5788964969e-23
5.05262            -5.4493224939e+00 1.7308098606e+01 -4.6770414984e-22 -5.5944392247e+00 1.7230901078e+01 -4.4551064555e-22 1.4511673079e-01 7.7197527130e-02 -2.2193504293e-23
5.06125            -5.4739099513e+00 1.7642184170e+01 9.3746953327e-21 -5.6189182716e+00 1.7566188241e+01 9.3712383881e-21 1.4500832028e-01 7.5995929093e-02 3.4569445214e-24
5.06989            -5.3840128834e+00 1.7641637529e+01 5.1382630631e-21 -5.5288878252e+00 1.7566877151e+01 5.1345462313e-21 1.4487494176e-01 7.4760378014e-02 3.7168317888e-24
5.07854            -5.3898800129e+00 1.7891486949e+01 -5.5302168742e-22 -5.5345954599e+00 1.7817976209e+01 -5.5567735056e-22 1.4471544699e-01 7.3510739760e-02 2.6556631484e-24
5.08719            -5.3717656332e+00 1.8105946022e+01 -2.9101882563e-21 -5.5163108737e+00 1.8033701833e+01 -2.9060846120e-21 1.4454524045e-01 7.2244188459e-02 -4.1036443301e-24
5.09585            -5.3472917154e+00 1.8364004185e+01 -1.0817600011e-20 -5.4916420182e+00 1.8293046331e+01 -1.0812394189e-20 1.4435030283e-01 7.0957854635e-02 -5.2058224726e-24
5.10452            -5.2896662771e+00 1.8453039284e+01 -1.6264436017e-20 -5.4338325599e+00 1.8383372541e+01 -1.6262433206e-20 1.4416628284e-01 6.9666742456e-02 -2.0028116253e-24
5.11324            -5.2052755115e+00 1.8575663964e+01 1.1420932135e-20 -5.3492424489e+00 1.8507309374e+01 1.1437206352e-20 1.4396693742e-01 6.8354589301e-02 -1.6274216779e-23
5.12198            -5.2093345181e+00 1.8901045330e+01 1.2203295188e-20 -5.3531099889e+00 1.8834011276e+01 1.2198905428e-20 1.4377547083e-01 6.7034054211e-02 4.3897591491e-24
5.13074            -5.1138494116e+00 1.9003425504e+01 5.4845270138e-21 -5.2574246011e+00 1.8937727676e+01 5.4808672346e-21 1.4357518959e-01 6.5697828271e-02 3.6597791574e-24
5.13954            -5.0745358191e+00 1.9188717631e+01 -5.7703096037e-21 -5.2178772093e+00 1.9124380135e+01 -5.7556133141e-21 1.4334139020e-01 6.4337496032e-02 -1.4696289530e-23
5.14839            -4.9955669486e+00 1.9370883450e+01 -9.2378040216e-21 -5.1386560682e+00 1.9307928410e+01 -9.2436299790e-21 1.4308911961e-01 6.2955039639e-02 5.8259573743e-24
5.15727            -4.9106353388e+00 1.9527084602e+01 -5.5909682187e-21 -5.0534871366e+00 1.9465513396e+01 -5.5485030074e-21 1.4285179778e-01 6.1571205807e-02 -4.2465211262e-23
5.16621            -4.8112812553e+00 1.9643054041e+01 3.3637179183e-22 -4.9538755844e+00 1.9582885448e+01 3.2452929889e-22 1.4259432912e-01 6.0168593149e-02 1.1842492942e-23
5.1752             -4.7228676651e+00 1.9777087833e+01 -7.0373811754e-21 -4.8651951550e+00 1.9718337019e+01 -7.0263575970e-21 1.4232748994e-01 5.8750813658e-02 -1.1023578413e-23
5.18425            -4.6759731773e+00 2.0012421441e+01 8.0209160481e-21 -4.8180017403e+00 1.9955113505e+01 8.0189896267e-21 1.4202856296e-01 5.7307935920e-02 1.9264213439e-24
5.19335            -4.5490504984e+00 2.0117646741e+01 -7.5369942388e-21 -4.6907324592e+00 2.0061809621e+01 -7.5497937558e-21 1.4168196082e-01 5.5837120629e-02 1.2799517032e-23
5.20249            -4.5109310194e+00 2.0452862655e+01 -1.0344746770e-21 -4.6522968499e+00 2.0398488319e+01 -1.0376166956e-21 1.4136583057e-01 5.4374336053e-02 3.1420185791e-24
5.21176            -4.3136405204e+00 2.0363289283e+01 -3.6771374908e-21 -4.4546521022e+00 2.0310425258e+01 -3.6844764124e-21 1.4101158179e-01 5.2864024995e-02 7.3389215873e-24
5.22112            -4.2268065514e+00 2.0593024479e+01 -5.3099065978e-21 -4.3674575638e+00 2.0541685571e+01 -5.3306369588e-21 1.4065101237e-01 5.1338908398e-02 2.0730361063e-23
5.23051            -4.0642946811e+00 2.0620974576e+01 2.4378836830e-21 -4.2045646720e+00 2.0571154368e+01 2.4416501906e-21 1.4026999088e-01 4.9820208644e-02 -3.7665075735e-24
5.2399             -3.9221045742e+00 2.0701233371e+01 -1.5692930760e-20 -4.0620068949e+00 2.0652943811e+01 -1.5708169081e-20 1.3990232065e-01 4.8289560066e-02 1.5238321619e-23
5.24928            -3.7843554941e+00 2.0846099693e+01 8.3967904103e-21 -3.9239229996e+00 2.0799273646e+01 8.4391252457e-21 1.3956750551e-01 4.6826047580e-02 -4.2334835387e-23
5.25865            -3.6425145157e+00 2.0997798527e+01 1.5893933545e-21 -3.7817149690e+00 2.0952460523e+01 1.5737407794e-21 1.3920045328e-01 4.5338003485e-02 1.5652575090e-23
5.26801            -3.4832814887e+00 2.0899641750e+01 -1.0843025131e-20 -3.6221028812e+00 2.0855818458e+01 -1.0851497141e-20 1.3882139246e-01 4.3823291694e-02 8.4720098212e-24
5.27736            -3.3198066733e+00 2.0922698607e+01 -5.8216560573e-22 -3.4582062894e+00 2.0880402783e+01 -5.8316561897e-22 1.3839961609e-01 4.2295823929e-02 1.0000132366e-24
5.28672            -3.1901136449e+00 2.1060687616e+01 8.8969711826e-22 -3.3280961252e+00 2.1019891496e+01 9.0709181377e-22 1.3798248031e-01 4.0796119901e-02 -1.7394695515e-23
5.29607            -3.0274957281e+00 2.1140486416e+01 1.8407130036e-20 -3.1650266186e+00 2.1101171059e+01 1.8439927380e-20 1.3753089050e-01 3.9315356987e-02 -3.2797344076e-23
5.30542            -2.8432512487e+00 2.1066493746e+01 -8.3081805000e-21 -2.9803342279e+00 2.1028673088e+01 -8.3517190595e-21 1.3708297923e-01 3.7820657417e-02 4.3538559480e-23
5.31477            -2.6500116178e+00 2.0928995897e+01 5.1006370838e-21 -2.7866186262e+00 2.0892699401e+01 5.1106492540e-21 1.3660700839e-01 3.6296496306e-02 -1.0012170226e-23
5.32407            -2.4721239773e+00 2.0999368103e+01 -2.0780242251e-21 -2.6082637857e+00 2.0964550691e+01 -2.0893976911e-21 1.3613980842e-01 3.4817412076e-02 1.1373465986e-23
5.33317            -2.3018444953e+00 2.1044980858e+01 -3.3356230565e-21 -2.4375913790e+00 2.1011578593e+01 -3.3178806241e-21 1.3574688366e-01 3.3402265015e-02 -1.7742432389e-23
5.34214            -2.1071792861e+00 2.0861869961e+01 1.4697119025e-20 -2.2425169993e+00 2.0829881040e+01 1.4696766264e-20 1.3533771314e-01 3.1988920403e-02 3.5276047954e-25
5.35107            -1.9654740442e+00 2.0991756681e+01 5.6249465931e-21 -2.1003859315e+00 2.0961152779e+01 5.6668313888e-21 1.3491188730e-01 3.0603902880e-02 -4.1884795710e-23
5.36               -1.7577149837e+00 2.0663042494e+01 8.7491315206e-21 -1.8921315543e+00 2.0633833167e+01 8.7836298168e-21 1.3441657058e-01 2.9209327594e-02 -3.4498296165e-23
5.36893            -1.6207165027e+00 2.0999638400e+01 1.6998701503e-21 -1.7545998658e+00 2.0971807188e+01 1.7108455439e-21 1.3388336313e-01 2.7831211761e-02 -1.0975393596e-23
