# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
5.00086            1.3498219499e-21 1.7600113684e-22 -3.1328731423e-01 1.3296898972e-21 1.8783341318e-22 -3.5528440085e-01 2.0132052720e-23 -1.1832276343e-23 4.1997086618e-02
5.00947            1.5601966155e-21 7.6174567465e-22 -3.2911914326e-01 1.5796481960e-21 7.4570350506e-22 -3.7212668168e-01 -1.9451580506e-23 1.6042169595e-23 4.3007538424e-02
5.01809            -6.3869579190e-21 4.5411722081e-21 -3.3560988041e-01 -6.4001430473e-21 4.5498516352e-21 -3.7963014918e-01 1.3185128273e-23 -8.6794271538e-24 4.4020268764e-02
5.02673            -4.3048117281e-21 3.5758741917e-21 -3.4854468288e-01 -4.2898137374e-21 3.5670049375e-21 -3.9354978612e-01 -1.4997990717e-23 8.8692541538e-24 4.5005103245e-02
5.03536            1.5988720628e-21 -1.2972289729e-21 -3.5407045560e-01 1.5937824584e-21 -1.2951730458e-21 -4.0004710865e-01 5.0896043849e-24 -2.0559270955e-24 4.5976653059e-02
5.04399            -3.3013102436e-21 4.2252532367e-21 -3.6323149044e-01 -3.3214215146e-21 4.2400000942e-21 -4.1016124716e-01 2.0111271031e-23 -1.4746857458e-23 4.6929756723e-02
5.05262            -3.8424637921e-22 7.2682441144e-22 -3.6144126451e-01 -3.9255421820e-22 7.3203647312e-22 -4.0931209052e-01 8.3078389981e-24 -5.2120616871e-24 4.7870826012e-02
5.06125            -2.7514572352e-21 -2.5810434630e-22 -3.5203834779e-01 -2.7474773463e-21 -2.6341619631e-22 -4.0083131766e-01 -3.9798889226e-24 5.3118500150e-24 4.8792969870e-02
5.06989            7.8342556142e-22 -6.3100694541e-21 -3.6133798718e-01 7.8497200843e-22 -6.3124801115e-21 -4.1103182851e-01 -1.5464470108e-24 2.4106574301e-24 4.9693841327e-02
5.07854            -1.8690564957e-22 9.9442199301e-22 -3.5963172255e-01 -1.8460266470e-22 9.9182474564e-22 -4.1019985842e-01 -2.3029848682e-24 2.5972473639e-24 5.0568135879e-02
5.08719            -8.0348013567e-22 2.4950245098e-21 -3.5216535619e-01 -8.0464481071e-22 2.4956899739e-21 -4.0358722122e-01 1.1646750373e-24 -6.6546411966e-25 5.1421865034e-02
5.09585            5.3669084172e-21 -3.3259010610e-21 -3.3628777991e-01 5.3636148400e-21 -3.3219512571e-21 -3.8853699388e-01 3.2935772483e-24 -3.9498038678e-24 5.2249213965e-02
5.10452            7.6835857120e-21 -4.9104560823e-21 -3.3300203284e-01 7.6855454245e-21 -4.9148722955e-21 -3.8606620612e-01 -1.9597125142e-24 4.4162131729e-24 5.3064173284e-02
5.11324            -5.6048523163e-21 4.5682417635e-21 -3.1261520832e-01 -5.6120765005e-21 4.5752055292e-21 -3.6647453314e-01 7.2241841877e-24 -6.9637656551e-24 5.3859324816e-02
5.12198            -5.1401052461e-21 1.3235531035e-21 -2.9979539820e-01 -5.1367465145e-21 1.3195254985e-21 -3.5443676684e-01 -3.3587316296e-24 4.0276050242e-24 5.4641368635e-02
5.13074            -3.1975141358e-21 1.8892810196e-21 -2.8192620305e-01 -3.1941333790e-21 1.8836752243e-21 -3.3733039718e-01 -3.3807568153e-24 5.6057953422e-24 5.5404194139e-02
