# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.00026696         -1.0770995566e+06 -1.5405381669e+06 -9.5882910301e-18 -1.0770998474e+06 -1.5405347223e+06 -9.5305256665e-18 2.9086143402e-01 -3.4446607025e+00 -5.7765363613e-20
0.000295049        -3.6451362158e+05 -5.1239732006e+05 -1.2078392222e-15 -3.6451331026e+05 -5.1239279737e+05 -1.2078329675e-15 -3.1131887885e-01 -4.5226892604e+00 -6.2546991904e-21
0.000335812        -1.0664990225e+05 -1.4798445544e+05 1.0765566959e-16 -1.0664915958e+05 -1.4797977957e+05 1.0764135716e-16 -7.4267074292e-01 -4.6758750624e+00 1.4312426422e-20
0.000393754        -5.4023313476e+04 -6.8517523971e+04 1.2604618524e-16 -5.4021657544e+04 -6.8513147064e+04 1.2603981254e-16 -1.6559318425e+00 -4.3769069377e+00 6.3726987036e-21
0.000470531        -3.2206021299e+04 -3.4869359472e+04 -1.0795014357e-16 -3.2202271388e+04 -3.4865788659e+04 -1.0794212654e-16 -3.7499112366e+00 -3.5708130694e+00 -8.0170274052e-21
0.000557903        -2.3994030719e+04 -2.2583353851e+04 1.0209862538e-17 -2.3988578069e+04 -2.2580427435e+04 1.0209788684e-17 -5.4526504108e+00 -2.9264159351e+00 7.3854169196e-23
0.000644501        -2.0525244253e+04 -1.7631387246e+04 1.6570571909e-17 -2.0518164533e+04 -1.7629213091e+04 1.6564502917e-17 -7.0797203315e+00 -2.1741556411e+00 6.0689915977e-21
0.000744753        -1.5623201445e+04 -1.0592796825e+04 3.3179705105e-17 -1.5615413741e+04 -1.0591113027e+04 3.3181857091e-17 -7.7877042523e+00 -1.6837982797e+00 -2.1519861720e-21
0.000861378        -1.5878233895e+04 -1.0577491145e+04 2.0435824788e-17 -1.5870436298e+04 -1.0575833303e+04 2.0437282055e-17 -7.7975965363e+00 -1.6578416565e+00 -1.4572667429e-21
0.000978296        -1.6221292294e+04 -1.1006949159e+04 -6.2788808992e-17 -1.6213703927e+04 -1.1005117709e+04 -6.2803021975e-17 -7.5883674828e+00 -1.8314494182e+00 1.4212983360e-20
0.0010945          -1.6008522622e+04 -1.0652145305e+04 1.9532065506e-17 -1.6001289136e+04 -1.0649903902e+04 1.9535151153e-17 -7.2334859620e+00 -2.2414034780e+00 -3.0856461895e-21
0.00121121         -1.4336864535e+04 -8.2773559066e+03 -3.5585045580e-17 -1.4329912815e+04 -8.2749316032e+03 -3.5581504672e-17 -6.9517196964e+00 -2.4243033982e+00 -3.5409077169e-21
0.00132576         -1.4139613325e+04 -7.9974383524e+03 6.0501463733e-19 -1.4132956994e+04 -7.9946983595e+03 6.0272863332e-19 -6.6563313765e+00 -2.7399928696e+00 2.2860040143e-21
0.00144091         -1.3616479602e+04 -7.2749507100e+03 -4.1800721115e-17 -1.3610153222e+04 -7.2718244605e+03 -4.1805588747e-17 -6.3263799390e+00 -3.1262494536e+00 4.8676325563e-21
0.00155701         -1.4114270203e+04 -7.9938770019e+03 5.9933636889e-18 -1.4108335815e+04 -7.9903975966e+03 6.0068221870e-18 -5.9343880591e+00 -3.4794052703e+00 -1.3458498068e-20
