# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.00026696         4.7024478138e-16 6.1447220242e-16 -3.5730307780e+05 4.7024037516e-16 6.1446435428e-16 -3.5730390178e+05 4.4062177711e-21 7.8481316563e-21 8.2397937809e-01
0.000295049        1.2279769976e-16 8.6745938825e-17 -1.2939759053e+05 1.2280547177e-16 8.6759623175e-17 -1.2939880833e+05 -7.7720086624e-21 -1.3684349878e-20 1.2178049199e+00
0.000335812        -8.5192813684e-17 -1.1767855321e-16 -4.7105786754e+04 -8.5195873852e-17 -1.1768200708e-16 -4.7107477579e+04 3.0601685355e-21 3.4538732983e-21 1.6908246978e+00
0.000393754        9.1847111864e-18 -2.3051758120e-18 -2.5068580361e+04 9.1821084729e-18 -2.3088152551e-18 -2.5070725926e+04 2.6027134759e-21 3.6394430762e-21 2.1455655139e+00
0.000470531        2.5001425695e-17 3.0567811015e-17 -1.6260408767e+04 2.5000964220e-17 3.0566517514e-17 -1.6262897107e+04 4.6147481238e-22 1.2935013263e-21 2.4883400906e+00
0.000557903        9.5482275742e-18 1.5618643448e-17 -1.3825171057e+04 9.5461455366e-18 1.5615831516e-17 -1.3828024536e+04 2.0820376124e-21 2.8119322043e-21 2.8534784361e+00
0.000644501        -8.4110993137e-18 -1.4444038946e-17 -1.1843753429e+04 -8.4089002315e-18 -1.4440824837e-17 -1.1846931721e+04 -2.1990821257e-21 -3.2141089690e-21 3.1782921412e+00
0.000744753        -1.8934921768e-17 -2.6336300720e-17 -9.0775626714e+03 -1.8936685116e-17 -2.6338245069e-17 -9.0810711215e+03 1.7633478026e-21 1.9443484996e-21 3.5084501320e+00
0.000861378        4.7064480119e-18 9.6307292667e-18 -8.5123778374e+03 4.7072647322e-18 9.6317610801e-18 -8.5162326988e+03 -8.1672024300e-22 -1.0318134604e-21 3.8548613433e+00
0.000978296        -1.9531548008e-17 -2.7043455608e-17 -8.4814128460e+03 -1.9530632052e-17 -2.7042262209e-17 -8.4855459584e+03 -9.1595557440e-22 -1.1933983752e-21 4.1331124065e+00
0.0010945          6.4268576630e-18 7.2205778804e-18 -8.4497608705e+03 6.4240973507e-18 7.2167592936e-18 -8.4541808090e+03 2.7603122655e-21 3.8185867272e-21 4.4199385109e+00
0.00121121         -1.1980193051e-17 -1.7097661343e-17 -7.6668264517e+03 -1.1982909504e-17 -1.7101140507e-17 -7.6715063857e+03 2.7164528267e-21 3.4791642076e-21 4.6799339958e+00
0.00132576         9.1477091653e-18 1.2726339174e-17 -7.3060764365e+03 9.1469913768e-18 1.2725312119e-17 -7.3109798523e+03 7.1778853642e-22 1.0270547976e-21 4.9034157969e+00
0.00144091         4.7546645545e-18 5.6027827246e-18 -6.9356432043e+03 4.7574366059e-18 5.6067458911e-18 -6.9407468798e+03 -2.7720513857e-21 -3.9631665091e-21 5.1036755756e+00
0.00155701         -3.0039156250e-18 2.8608975255e-19 -6.9482134199e+03 -3.0042016396e-18 2.8620377230e-19 -6.9534477686e+03 2.8601455888e-22 -1.1401974592e-22 5.2343486972e+00
0.00167293         -7.1920946439e-18 -1.1297878162e-17 -6.7043865768e+03 -7.1928158892e-18 -1.1299304107e-17 -6.7097013015e+03 7.2124532251e-22 1.4259450810e-21 5.3147247461e+00
0.00178915         1.3695280310e-17 1.8245757185e-17 -6.5993451580e+03 1.3693423286e-17 1.8242859785e-17 -6.6047287732e+03 1.8570233002e-21 2.8973994681e-21 5.3836151426e+00
0.00190533         -2.7238602619e-18 -5.0212132619e-19 -6.2976503627e+03 -2.7250318372e-18 -5.0372846239e-19 -6.3030900578e+03 1.1715752923e-21 1.6071362036e-21 5.4396950651e+00
0.00202096         1.0581591248e-17 1.3638813389e-17 -6.1329939518e+03 1.0581626731e-17 1.3638919985e-17 -6.1384786612e+03 -3.5483462786e-23 -1.0659557176e-22 5.4847093485e+00
0.00213707         -1.4330748813e-17 -1.9434943228e-17 -5.9469923316e+03 -1.4329601961e-17 -1.9433243377e-17 -5.9524991873e+03 -1.1468518041e-21 -1.6998501158e-21 5.5068557470e+00
0.00225467         -7.6059783709e-18 -9.4538727363e-18 -5.7446007130e+03 -7.6070831614e-18 -9.4552662128e-18 -5.7500870855e+03 1.1047904552e-21 1.3934765262e-21 5.4863724834e+00
0.00237323         1.3282072027e-18 2.5807171070e-18 -5.7863472866e+03 1.3278004157e-18 2.5805777473e-18 -5.7917883709e+03 4.0678702730e-22 1.3935962168e-22 5.4410843049e+00
0.00249179         -6.2026067976e-18 -8.6465593475e-18 -5.6856145651e+03 -6.2052870573e-18 -8.6504431535e-18 -5.6910104630e+03 2.6802597429e-21 3.8838060387e-21 5.3958979074e+00
0.00261049         -4.8620134066e-18 -6.7514917032e-18 -5.5579775196e+03 -4.8635355544e-18 -6.7536818599e-18 -5.5633305752e+03 1.5221477889e-21 2.1901566343e-21 5.3530556057e+00
0.00273026         -1.2634308261e-17 -1.7661060191e-17 -5.4730047336e+03 -1.2634244758e-17 -1.7660721446e-17 -5.4783026457e+03 -6.3503072733e-23 -3.3874516446e-22 5.2979120998e+00
0.00285126         2.1992333531e-18 2.6421130109e-18 -5.5077566997e+03 2.2004000800e-18 2.6432936862e-18 -5.5129901602e+03 -1.1667269111e-21 -1.1806752091e-21 5.2334605605e+00
0.00297305         -6.5477576827e-18 -7.7715598810e-18 -5.3752133189e+03 -6.5486247972e-18 -7.7721065243e-18 -5.3803707591e+03 8.6711453979e-22 5.4664324907e-22 5.1574402272e+00
0.00309529         -2.1291903353e-20 -1.0197314516e-18 -5.1956367136e+03 -2.2191631422e-20 -1.0207167128e-18 -5.2007136991e+03 8.9972806894e-22 9.8526121712e-22 5.0769855095e+00
0.00321806         -6.8131289661e-18 -1.0555594420e-17 -5.0458791810e+03 -6.8134423027e-18 -1.0556033734e-17 -5.0508793691e+03 3.1333661558e-22 4.3931442961e-22 5.0001881202e+00
0.00334165         -2.6757862442e-18 -2.3105748537e-18 -4.9796013115e+03 -2.6772440769e-18 -2.3124098952e-18 -4.9845236180e+03 1.4578326850e-21 1.8350415542e-21 4.9223064224e+00
0.0034661          -2.9251824116e-18 -3.1492122227e-18 -5.1389396438e+03 -2.9259738758e-18 -3.1504049854e-18 -5.1437884372e+03 7.9146422888e-22 1.1927627067e-21 4.8487934212e+00
0.00359129         1.0875556348e-17 1.5148652108e-17 -4.9455290528e+03 1.0874397692e-17 1.5147184328e-17 -4.9503120457e+03 1.1586558675e-21 1.4677803600e-21 4.7829929055e+00
0.00371793         -4.5278567497e-18 -4.6305691938e-18 -4.9907472485e+03 -4.5261790383e-18 -4.6282641702e-18 -4.9954603246e+03 -1.6777113599e-21 -2.3050235830e-21 4.7130760130e+00
0.00384638         -2.4620344772e-18 -2.7516393034e-18 -4.8301173746e+03 -2.4602650413e-18 -2.7490871842e-18 -4.8347476265e+03 -1.7694358682e-21 -2.5521192267e-21 4.6302518816e+00
